"done","yield_value","tend_crop_yld","public_land","man_bud_type","land_type","land_type_max_frac","ytb_type"
0,0.2,0.2,0,"fixed","oneRich",0.25,"beta1"
0,0.4,0.2,0,"fixed","oneRich",0.25,"beta1"
0,0.6,0.2,0,"fixed","oneRich",0.25,"beta1"
0,0.8,0.2,0,"fixed","oneRich",0.25,"beta1"
0,0.2,0.5,0,"fixed","oneRich",0.25,"beta1"
0,0.4,0.5,0,"fixed","oneRich",0.25,"beta1"
0,0.6,0.5,0,"fixed","oneRich",0.25,"beta1"
0,0.8,0.5,0,"fixed","oneRich",0.25,"beta1"
0,0.2,0.8,0,"fixed","oneRich",0.25,"beta1"
0,0.4,0.8,0,"fixed","oneRich",0.25,"beta1"
0,0.6,0.8,0,"fixed","oneRich",0.25,"beta1"
0,0.8,0.8,0,"fixed","oneRich",0.25,"beta1"
0,0.2,0.2,0.25,"fixed","oneRich",0.25,"beta1"
0,0.4,0.2,0.25,"fixed","oneRich",0.25,"beta1"
0,0.6,0.2,0.25,"fixed","oneRich",0.25,"beta1"
0,0.8,0.2,0.25,"fixed","oneRich",0.25,"beta1"
0,0.2,0.5,0.25,"fixed","oneRich",0.25,"beta1"
0,0.4,0.5,0.25,"fixed","oneRich",0.25,"beta1"
0,0.6,0.5,0.25,"fixed","oneRich",0.25,"beta1"
0,0.8,0.5,0.25,"fixed","oneRich",0.25,"beta1"
0,0.2,0.8,0.25,"fixed","oneRich",0.25,"beta1"
0,0.4,0.8,0.25,"fixed","oneRich",0.25,"beta1"
0,0.6,0.8,0.25,"fixed","oneRich",0.25,"beta1"
0,0.8,0.8,0.25,"fixed","oneRich",0.25,"beta1"
0,0.2,0.2,0.5,"fixed","oneRich",0.25,"beta1"
0,0.4,0.2,0.5,"fixed","oneRich",0.25,"beta1"
0,0.6,0.2,0.5,"fixed","oneRich",0.25,"beta1"
0,0.8,0.2,0.5,"fixed","oneRich",0.25,"beta1"
0,0.2,0.5,0.5,"fixed","oneRich",0.25,"beta1"
0,0.4,0.5,0.5,"fixed","oneRich",0.25,"beta1"
0,0.6,0.5,0.5,"fixed","oneRich",0.25,"beta1"
0,0.8,0.5,0.5,"fixed","oneRich",0.25,"beta1"
0,0.2,0.8,0.5,"fixed","oneRich",0.25,"beta1"
0,0.4,0.8,0.5,"fixed","oneRich",0.25,"beta1"
0,0.6,0.8,0.5,"fixed","oneRich",0.25,"beta1"
0,0.8,0.8,0.5,"fixed","oneRich",0.25,"beta1"
0,0.2,0.2,0,"mean","oneRich",0.25,"beta1"
0,0.4,0.2,0,"mean","oneRich",0.25,"beta1"
0,0.6,0.2,0,"mean","oneRich",0.25,"beta1"
0,0.8,0.2,0,"mean","oneRich",0.25,"beta1"
0,0.2,0.5,0,"mean","oneRich",0.25,"beta1"
0,0.4,0.5,0,"mean","oneRich",0.25,"beta1"
0,0.6,0.5,0,"mean","oneRich",0.25,"beta1"
0,0.8,0.5,0,"mean","oneRich",0.25,"beta1"
0,0.2,0.8,0,"mean","oneRich",0.25,"beta1"
0,0.4,0.8,0,"mean","oneRich",0.25,"beta1"
0,0.6,0.8,0,"mean","oneRich",0.25,"beta1"
0,0.8,0.8,0,"mean","oneRich",0.25,"beta1"
0,0.2,0.2,0.25,"mean","oneRich",0.25,"beta1"
0,0.4,0.2,0.25,"mean","oneRich",0.25,"beta1"
0,0.6,0.2,0.25,"mean","oneRich",0.25,"beta1"
0,0.8,0.2,0.25,"mean","oneRich",0.25,"beta1"
0,0.2,0.5,0.25,"mean","oneRich",0.25,"beta1"
0,0.4,0.5,0.25,"mean","oneRich",0.25,"beta1"
0,0.6,0.5,0.25,"mean","oneRich",0.25,"beta1"
0,0.8,0.5,0.25,"mean","oneRich",0.25,"beta1"
0,0.2,0.8,0.25,"mean","oneRich",0.25,"beta1"
0,0.4,0.8,0.25,"mean","oneRich",0.25,"beta1"
0,0.6,0.8,0.25,"mean","oneRich",0.25,"beta1"
0,0.8,0.8,0.25,"mean","oneRich",0.25,"beta1"
0,0.2,0.2,0.5,"mean","oneRich",0.25,"beta1"
0,0.4,0.2,0.5,"mean","oneRich",0.25,"beta1"
0,0.6,0.2,0.5,"mean","oneRich",0.25,"beta1"
0,0.8,0.2,0.5,"mean","oneRich",0.25,"beta1"
0,0.2,0.5,0.5,"mean","oneRich",0.25,"beta1"
0,0.4,0.5,0.5,"mean","oneRich",0.25,"beta1"
0,0.6,0.5,0.5,"mean","oneRich",0.25,"beta1"
0,0.8,0.5,0.5,"mean","oneRich",0.25,"beta1"
0,0.2,0.8,0.5,"mean","oneRich",0.25,"beta1"
0,0.4,0.8,0.5,"mean","oneRich",0.25,"beta1"
0,0.6,0.8,0.5,"mean","oneRich",0.25,"beta1"
0,0.8,0.8,0.5,"mean","oneRich",0.25,"beta1"
0,0.2,0.2,0,"max","oneRich",0.25,"beta1"
0,0.4,0.2,0,"max","oneRich",0.25,"beta1"
0,0.6,0.2,0,"max","oneRich",0.25,"beta1"
0,0.8,0.2,0,"max","oneRich",0.25,"beta1"
0,0.2,0.5,0,"max","oneRich",0.25,"beta1"
0,0.4,0.5,0,"max","oneRich",0.25,"beta1"
0,0.6,0.5,0,"max","oneRich",0.25,"beta1"
0,0.8,0.5,0,"max","oneRich",0.25,"beta1"
0,0.2,0.8,0,"max","oneRich",0.25,"beta1"
0,0.4,0.8,0,"max","oneRich",0.25,"beta1"
0,0.6,0.8,0,"max","oneRich",0.25,"beta1"
0,0.8,0.8,0,"max","oneRich",0.25,"beta1"
0,0.2,0.2,0.25,"max","oneRich",0.25,"beta1"
0,0.4,0.2,0.25,"max","oneRich",0.25,"beta1"
0,0.6,0.2,0.25,"max","oneRich",0.25,"beta1"
0,0.8,0.2,0.25,"max","oneRich",0.25,"beta1"
0,0.2,0.5,0.25,"max","oneRich",0.25,"beta1"
0,0.4,0.5,0.25,"max","oneRich",0.25,"beta1"
0,0.6,0.5,0.25,"max","oneRich",0.25,"beta1"
0,0.8,0.5,0.25,"max","oneRich",0.25,"beta1"
0,0.2,0.8,0.25,"max","oneRich",0.25,"beta1"
0,0.4,0.8,0.25,"max","oneRich",0.25,"beta1"
0,0.6,0.8,0.25,"max","oneRich",0.25,"beta1"
0,0.8,0.8,0.25,"max","oneRich",0.25,"beta1"
0,0.2,0.2,0.5,"max","oneRich",0.25,"beta1"
0,0.4,0.2,0.5,"max","oneRich",0.25,"beta1"
0,0.6,0.2,0.5,"max","oneRich",0.25,"beta1"
0,0.8,0.2,0.5,"max","oneRich",0.25,"beta1"
0,0.2,0.5,0.5,"max","oneRich",0.25,"beta1"
0,0.4,0.5,0.5,"max","oneRich",0.25,"beta1"
0,0.6,0.5,0.5,"max","oneRich",0.25,"beta1"
0,0.8,0.5,0.5,"max","oneRich",0.25,"beta1"
0,0.2,0.8,0.5,"max","oneRich",0.25,"beta1"
0,0.4,0.8,0.5,"max","oneRich",0.25,"beta1"
0,0.6,0.8,0.5,"max","oneRich",0.25,"beta1"
0,0.8,0.8,0.5,"max","oneRich",0.25,"beta1"
0,0.2,0.2,0,"fixed","oneRich",0.5,"beta1"
0,0.4,0.2,0,"fixed","oneRich",0.5,"beta1"
0,0.6,0.2,0,"fixed","oneRich",0.5,"beta1"
0,0.8,0.2,0,"fixed","oneRich",0.5,"beta1"
0,0.2,0.5,0,"fixed","oneRich",0.5,"beta1"
0,0.4,0.5,0,"fixed","oneRich",0.5,"beta1"
0,0.6,0.5,0,"fixed","oneRich",0.5,"beta1"
0,0.8,0.5,0,"fixed","oneRich",0.5,"beta1"
0,0.2,0.8,0,"fixed","oneRich",0.5,"beta1"
0,0.4,0.8,0,"fixed","oneRich",0.5,"beta1"
0,0.6,0.8,0,"fixed","oneRich",0.5,"beta1"
0,0.8,0.8,0,"fixed","oneRich",0.5,"beta1"
0,0.2,0.2,0.25,"fixed","oneRich",0.5,"beta1"
0,0.4,0.2,0.25,"fixed","oneRich",0.5,"beta1"
0,0.6,0.2,0.25,"fixed","oneRich",0.5,"beta1"
0,0.8,0.2,0.25,"fixed","oneRich",0.5,"beta1"
0,0.2,0.5,0.25,"fixed","oneRich",0.5,"beta1"
0,0.4,0.5,0.25,"fixed","oneRich",0.5,"beta1"
0,0.6,0.5,0.25,"fixed","oneRich",0.5,"beta1"
0,0.8,0.5,0.25,"fixed","oneRich",0.5,"beta1"
0,0.2,0.8,0.25,"fixed","oneRich",0.5,"beta1"
0,0.4,0.8,0.25,"fixed","oneRich",0.5,"beta1"
0,0.6,0.8,0.25,"fixed","oneRich",0.5,"beta1"
0,0.8,0.8,0.25,"fixed","oneRich",0.5,"beta1"
0,0.2,0.2,0.5,"fixed","oneRich",0.5,"beta1"
0,0.4,0.2,0.5,"fixed","oneRich",0.5,"beta1"
0,0.6,0.2,0.5,"fixed","oneRich",0.5,"beta1"
0,0.8,0.2,0.5,"fixed","oneRich",0.5,"beta1"
0,0.2,0.5,0.5,"fixed","oneRich",0.5,"beta1"
0,0.4,0.5,0.5,"fixed","oneRich",0.5,"beta1"
0,0.6,0.5,0.5,"fixed","oneRich",0.5,"beta1"
0,0.8,0.5,0.5,"fixed","oneRich",0.5,"beta1"
0,0.2,0.8,0.5,"fixed","oneRich",0.5,"beta1"
0,0.4,0.8,0.5,"fixed","oneRich",0.5,"beta1"
0,0.6,0.8,0.5,"fixed","oneRich",0.5,"beta1"
0,0.8,0.8,0.5,"fixed","oneRich",0.5,"beta1"
0,0.2,0.2,0,"mean","oneRich",0.5,"beta1"
0,0.4,0.2,0,"mean","oneRich",0.5,"beta1"
0,0.6,0.2,0,"mean","oneRich",0.5,"beta1"
0,0.8,0.2,0,"mean","oneRich",0.5,"beta1"
0,0.2,0.5,0,"mean","oneRich",0.5,"beta1"
0,0.4,0.5,0,"mean","oneRich",0.5,"beta1"
0,0.6,0.5,0,"mean","oneRich",0.5,"beta1"
0,0.8,0.5,0,"mean","oneRich",0.5,"beta1"
0,0.2,0.8,0,"mean","oneRich",0.5,"beta1"
0,0.4,0.8,0,"mean","oneRich",0.5,"beta1"
0,0.6,0.8,0,"mean","oneRich",0.5,"beta1"
0,0.8,0.8,0,"mean","oneRich",0.5,"beta1"
0,0.2,0.2,0.25,"mean","oneRich",0.5,"beta1"
0,0.4,0.2,0.25,"mean","oneRich",0.5,"beta1"
0,0.6,0.2,0.25,"mean","oneRich",0.5,"beta1"
0,0.8,0.2,0.25,"mean","oneRich",0.5,"beta1"
0,0.2,0.5,0.25,"mean","oneRich",0.5,"beta1"
0,0.4,0.5,0.25,"mean","oneRich",0.5,"beta1"
0,0.6,0.5,0.25,"mean","oneRich",0.5,"beta1"
0,0.8,0.5,0.25,"mean","oneRich",0.5,"beta1"
0,0.2,0.8,0.25,"mean","oneRich",0.5,"beta1"
0,0.4,0.8,0.25,"mean","oneRich",0.5,"beta1"
0,0.6,0.8,0.25,"mean","oneRich",0.5,"beta1"
0,0.8,0.8,0.25,"mean","oneRich",0.5,"beta1"
0,0.2,0.2,0.5,"mean","oneRich",0.5,"beta1"
0,0.4,0.2,0.5,"mean","oneRich",0.5,"beta1"
0,0.6,0.2,0.5,"mean","oneRich",0.5,"beta1"
0,0.8,0.2,0.5,"mean","oneRich",0.5,"beta1"
0,0.2,0.5,0.5,"mean","oneRich",0.5,"beta1"
0,0.4,0.5,0.5,"mean","oneRich",0.5,"beta1"
0,0.6,0.5,0.5,"mean","oneRich",0.5,"beta1"
0,0.8,0.5,0.5,"mean","oneRich",0.5,"beta1"
0,0.2,0.8,0.5,"mean","oneRich",0.5,"beta1"
0,0.4,0.8,0.5,"mean","oneRich",0.5,"beta1"
0,0.6,0.8,0.5,"mean","oneRich",0.5,"beta1"
0,0.8,0.8,0.5,"mean","oneRich",0.5,"beta1"
0,0.2,0.2,0,"max","oneRich",0.5,"beta1"
0,0.4,0.2,0,"max","oneRich",0.5,"beta1"
0,0.6,0.2,0,"max","oneRich",0.5,"beta1"
0,0.8,0.2,0,"max","oneRich",0.5,"beta1"
0,0.2,0.5,0,"max","oneRich",0.5,"beta1"
0,0.4,0.5,0,"max","oneRich",0.5,"beta1"
0,0.6,0.5,0,"max","oneRich",0.5,"beta1"
0,0.8,0.5,0,"max","oneRich",0.5,"beta1"
0,0.2,0.8,0,"max","oneRich",0.5,"beta1"
0,0.4,0.8,0,"max","oneRich",0.5,"beta1"
0,0.6,0.8,0,"max","oneRich",0.5,"beta1"
0,0.8,0.8,0,"max","oneRich",0.5,"beta1"
0,0.2,0.2,0.25,"max","oneRich",0.5,"beta1"
0,0.4,0.2,0.25,"max","oneRich",0.5,"beta1"
0,0.6,0.2,0.25,"max","oneRich",0.5,"beta1"
0,0.8,0.2,0.25,"max","oneRich",0.5,"beta1"
0,0.2,0.5,0.25,"max","oneRich",0.5,"beta1"
0,0.4,0.5,0.25,"max","oneRich",0.5,"beta1"
0,0.6,0.5,0.25,"max","oneRich",0.5,"beta1"
0,0.8,0.5,0.25,"max","oneRich",0.5,"beta1"
0,0.2,0.8,0.25,"max","oneRich",0.5,"beta1"
0,0.4,0.8,0.25,"max","oneRich",0.5,"beta1"
0,0.6,0.8,0.25,"max","oneRich",0.5,"beta1"
0,0.8,0.8,0.25,"max","oneRich",0.5,"beta1"
0,0.2,0.2,0.5,"max","oneRich",0.5,"beta1"
0,0.4,0.2,0.5,"max","oneRich",0.5,"beta1"
0,0.6,0.2,0.5,"max","oneRich",0.5,"beta1"
0,0.8,0.2,0.5,"max","oneRich",0.5,"beta1"
0,0.2,0.5,0.5,"max","oneRich",0.5,"beta1"
0,0.4,0.5,0.5,"max","oneRich",0.5,"beta1"
0,0.6,0.5,0.5,"max","oneRich",0.5,"beta1"
0,0.8,0.5,0.5,"max","oneRich",0.5,"beta1"
0,0.2,0.8,0.5,"max","oneRich",0.5,"beta1"
0,0.4,0.8,0.5,"max","oneRich",0.5,"beta1"
0,0.6,0.8,0.5,"max","oneRich",0.5,"beta1"
0,0.8,0.8,0.5,"max","oneRich",0.5,"beta1"
0,0.2,0.2,0,"fixed","oneRich",0.75,"beta1"
0,0.4,0.2,0,"fixed","oneRich",0.75,"beta1"
0,0.6,0.2,0,"fixed","oneRich",0.75,"beta1"
0,0.8,0.2,0,"fixed","oneRich",0.75,"beta1"
0,0.2,0.5,0,"fixed","oneRich",0.75,"beta1"
0,0.4,0.5,0,"fixed","oneRich",0.75,"beta1"
0,0.6,0.5,0,"fixed","oneRich",0.75,"beta1"
0,0.8,0.5,0,"fixed","oneRich",0.75,"beta1"
0,0.2,0.8,0,"fixed","oneRich",0.75,"beta1"
0,0.4,0.8,0,"fixed","oneRich",0.75,"beta1"
0,0.6,0.8,0,"fixed","oneRich",0.75,"beta1"
0,0.8,0.8,0,"fixed","oneRich",0.75,"beta1"
0,0.2,0.2,0.25,"fixed","oneRich",0.75,"beta1"
0,0.4,0.2,0.25,"fixed","oneRich",0.75,"beta1"
0,0.6,0.2,0.25,"fixed","oneRich",0.75,"beta1"
0,0.8,0.2,0.25,"fixed","oneRich",0.75,"beta1"
0,0.2,0.5,0.25,"fixed","oneRich",0.75,"beta1"
0,0.4,0.5,0.25,"fixed","oneRich",0.75,"beta1"
0,0.6,0.5,0.25,"fixed","oneRich",0.75,"beta1"
0,0.8,0.5,0.25,"fixed","oneRich",0.75,"beta1"
0,0.2,0.8,0.25,"fixed","oneRich",0.75,"beta1"
0,0.4,0.8,0.25,"fixed","oneRich",0.75,"beta1"
0,0.6,0.8,0.25,"fixed","oneRich",0.75,"beta1"
0,0.8,0.8,0.25,"fixed","oneRich",0.75,"beta1"
0,0.2,0.2,0.5,"fixed","oneRich",0.75,"beta1"
0,0.4,0.2,0.5,"fixed","oneRich",0.75,"beta1"
0,0.6,0.2,0.5,"fixed","oneRich",0.75,"beta1"
0,0.8,0.2,0.5,"fixed","oneRich",0.75,"beta1"
0,0.2,0.5,0.5,"fixed","oneRich",0.75,"beta1"
0,0.4,0.5,0.5,"fixed","oneRich",0.75,"beta1"
0,0.6,0.5,0.5,"fixed","oneRich",0.75,"beta1"
0,0.8,0.5,0.5,"fixed","oneRich",0.75,"beta1"
0,0.2,0.8,0.5,"fixed","oneRich",0.75,"beta1"
0,0.4,0.8,0.5,"fixed","oneRich",0.75,"beta1"
0,0.6,0.8,0.5,"fixed","oneRich",0.75,"beta1"
0,0.8,0.8,0.5,"fixed","oneRich",0.75,"beta1"
0,0.2,0.2,0,"mean","oneRich",0.75,"beta1"
0,0.4,0.2,0,"mean","oneRich",0.75,"beta1"
0,0.6,0.2,0,"mean","oneRich",0.75,"beta1"
0,0.8,0.2,0,"mean","oneRich",0.75,"beta1"
0,0.2,0.5,0,"mean","oneRich",0.75,"beta1"
0,0.4,0.5,0,"mean","oneRich",0.75,"beta1"
0,0.6,0.5,0,"mean","oneRich",0.75,"beta1"
0,0.8,0.5,0,"mean","oneRich",0.75,"beta1"
0,0.2,0.8,0,"mean","oneRich",0.75,"beta1"
0,0.4,0.8,0,"mean","oneRich",0.75,"beta1"
0,0.6,0.8,0,"mean","oneRich",0.75,"beta1"
0,0.8,0.8,0,"mean","oneRich",0.75,"beta1"
0,0.2,0.2,0.25,"mean","oneRich",0.75,"beta1"
0,0.4,0.2,0.25,"mean","oneRich",0.75,"beta1"
0,0.6,0.2,0.25,"mean","oneRich",0.75,"beta1"
0,0.8,0.2,0.25,"mean","oneRich",0.75,"beta1"
0,0.2,0.5,0.25,"mean","oneRich",0.75,"beta1"
0,0.4,0.5,0.25,"mean","oneRich",0.75,"beta1"
0,0.6,0.5,0.25,"mean","oneRich",0.75,"beta1"
0,0.8,0.5,0.25,"mean","oneRich",0.75,"beta1"
0,0.2,0.8,0.25,"mean","oneRich",0.75,"beta1"
0,0.4,0.8,0.25,"mean","oneRich",0.75,"beta1"
0,0.6,0.8,0.25,"mean","oneRich",0.75,"beta1"
0,0.8,0.8,0.25,"mean","oneRich",0.75,"beta1"
0,0.2,0.2,0.5,"mean","oneRich",0.75,"beta1"
0,0.4,0.2,0.5,"mean","oneRich",0.75,"beta1"
